Compound,Date,Negative,Neutral,Positive,Source,Text,Tweets Ago
0.3612,Wed Nov 29 15:32:04 +0000 2017,0.0,0.762,0.238,@BBCNews,Chennai Six: Britons 'eager to return to families' https://t.co/1GIc0UfGLs,1
0.0,Wed Nov 29 15:28:26 +0000 2017,0.0,1.0,0.0,@BBCNews,Donald Trump retweets far-right group's videos https://t.co/xf53097wrN,2
0.0,Wed Nov 29 15:17:20 +0000 2017,0.0,1.0,0.0,@BBCNews,Ben Stokes: Police 'seek charging advice' over Bristol nightclub incident https://t.co/gB7j2Gg8Zp,3
-0.9136,Wed Nov 29 14:35:10 +0000 2017,0.594,0.406,0.0,@BBCNews,Mark Van Dongen death: Acid attack murder trial jury dismissed https://t.co/65q3p7t0LY,4
0.1531,Wed Nov 29 14:02:34 +0000 2017,0.0,0.849,0.151,@BBCNews,Prime Minister's Questions: The key bits and the verdict https://t.co/GLoU4hb4O7,5
0.4404,Wed Nov 29 13:52:28 +0000 2017,0.0,0.873,0.127,@BBCNews,"RT @BBCSport: If you're good enough, you're old enough.

This goalkeeper has made his first team, aged 14.

Full story: https://t.co/EhMUrH…",6
0.0,Wed Nov 29 13:37:05 +0000 2017,0.0,1.0,0.0,@BBCNews,Uber says 2.7m Brits hit by breach that was covered up https://t.co/CtvUgDoryg,7
-0.2263,Wed Nov 29 13:37:05 +0000 2017,0.242,0.606,0.152,@BBCNews,Grenfell fire: Probe launched into police helicopters https://t.co/HXJ9WZsxUq,8
0.0,Wed Nov 29 12:55:29 +0000 2017,0.0,1.0,0.0,@BBCNews,Labour MP looks for government reaction to Donald Trump retweeting inflammatory videos from a British far-right gro… https://t.co/zW0aZIRMXM,9
0.4588,Wed Nov 29 12:53:00 +0000 2017,0.164,0.522,0.313,@BBCNews,Hacking suspect Lauri Love appeals against US extradition https://t.co/uO5SsyX7kc,10
-0.7964,Wed Nov 29 12:38:09 +0000 2017,0.504,0.496,0.0,@BBCNews,Megan Bannister trial: Drug death schoolgirl suppliers jailed https://t.co/otNyDVWEcg,11
0.0,Wed Nov 29 12:33:32 +0000 2017,0.0,1.0,0.0,@BBCNews,Ken Clarke MP questions @DamianGreen about the rumoured Brexit divorce bill of 50bn euros #PMQs… https://t.co/XBIz6NXEvI,12
0.3818,Wed Nov 29 12:24:55 +0000 2017,0.055,0.827,0.118,@BBCNews,RT @bbclaurak: Ken Clarke 1st to raise Brexit Bill - asking for a welcome to the bill saying it’s been a ‘bargain’ to pay so far,13
0.0,Wed Nov 29 12:19:10 +0000 2017,0.0,1.0,0.0,@BBCNews,"""What are you doing to our NHS?"" - Shadow Foreign Secretary @EmilyThornberry asks @DamianGreen #PMQs… https://t.co/GgkG3BTZFN",14
0.0,Wed Nov 29 12:13:27 +0000 2017,0.0,1.0,0.0,@BBCNews,Knowsley Council to sell off 10% off parks for development https://t.co/wWWHxMpjIO,15
0.0,Wed Nov 29 12:07:44 +0000 2017,0.0,1.0,0.0,@BBCNews,First Secretary of State @DamianGreen takes #PMQs today and starts by congratulating Prince Harry and Meghan Markle… https://t.co/CiI7CgVEI6,16
0.0,Wed Nov 29 11:51:45 +0000 2017,0.0,1.0,0.0,@BBCNews,Loan sharks 'hang around the school gates' https://t.co/Q5LlcgDchn,17
0.4215,Wed Nov 29 11:48:58 +0000 2017,0.0,0.872,0.128,@BBCNews,"""Now is the time to get the show on the road"" - Foreign Secretary @BorisJohnson hopes trade relationship talks with… https://t.co/CEJgfTu3jS",18
0.2732,Wed Nov 29 11:33:28 +0000 2017,0.195,0.602,0.203,@BBCNews,Court backs salesman's claim for 13 years of holiday pay https://t.co/3toDX9Mqvd,19
0.0,Wed Nov 29 11:23:48 +0000 2017,0.0,1.0,0.0,@BBCNews,"From Wallis to Meghan - the Royal Family's changing attitudes to marriage and divorce

https://t.co/Kx6VSURFLg https://t.co/roMOFRcKmu",20
0.3612,Wed Nov 29 15:32:04 +0000 2017,0.0,0.762,0.238,@BBCNews,Chennai Six: Britons 'eager to return to families' https://t.co/1GIc0UfGLs,21
0.0,Wed Nov 29 15:28:26 +0000 2017,0.0,1.0,0.0,@BBCNews,Donald Trump retweets far-right group's videos https://t.co/xf53097wrN,22
